Date,Open,High,Low,Close,Adj Close,Volume
1995-09-13,8.125,8.125,7.8125,7.8125,7.223552703857422,14600
1995-09-14,7.625,7.8125,7.625,7.8125,7.223552703857422,14800
1995-09-15,7.75,7.75,7.6875,7.75,7.165763854980469,6200
1995-09-18,7.75,7.75,7.5,7.5,6.9346113204956055,41600
1995-09-19,7.5625,7.625,7.5,7.5,6.9346113204956055,5000
1995-09-20,7.5,7.5,7.1875,7.25,6.703456401824951,20800
1995-09-21,7.1875,7.375,7.125,7.375,6.819033145904541,61000
1995-09-22,7.4375,7.5,7.375,7.375,6.819033145904541,53400
1995-09-25,7.4375,7.5,7.3125,7.3125,6.761245250701904,28200
1995-09-26,7.25,7.375,7.125,7.3125,6.761245250701904,265000
1995-09-27,7.3125,7.3125,7.0625,7.0625,6.530089855194092,95200
1995-09-28,7.125,7.1875,7.0625,7.1875,6.645669460296631,68600
1995-09-29,7.125,7.1875,7.125,7.1875,6.645669460296631,12200
1995-10-02,7.1875,7.1875,7.0625,7.125,6.587884426116943,77400
1995-10-03,7.125,7.125,6.75,6.75,6.241151809692383,141400
1995-10-04,6.625,6.625,6.5625,6.5625,6.067783355712891,49000
1995-10-05,6.4375,7.375,6.4375,7.375,6.819033145904541,180400
1995-10-06,7.5625,7.5625,7.4375,7.5625,6.992398738861084,64800
1995-10-09,7.5,7.5,7.3125,7.3125,6.761245250701904,46200
1995-10-10,7.3125,7.3125,7.25,7.3125,6.761245250701904,22800
1995-10-11,7.3125,7.3125,7.3125,7.3125,6.761245250701904,3400
1995-10-12,7.375,7.4375,7.3125,7.375,6.819033145904541,20200
1995-10-13,7.4375,7.5,7.4375,7.5,6.9346113204956055,6800
1995-10-16,7.5,7.5,7.4375,7.4375,6.876823425292969,7400
1995-10-17,7.4375,7.5,7.25,7.3125,6.761245250701904,264800
1995-10-18,7.25,7.25,6.75,6.75,6.241151809692383,54400
1995-10-19,6.75,6.875,6.625,6.75,6.241151809692383,108800
1995-10-20,6.75,6.75,6.5,6.5,6.009995937347412,17000
1995-10-23,6.3125,6.4375,6.25,6.3125,5.836632251739502,414800
1995-10-24,6.3125,6.375,6.25,6.25,5.778843402862549,174400
1995-10-25,6.3125,6.375,6.1875,6.375,5.894420146942139,941600
1995-10-26,6.4375,6.4375,6.1875,6.1875,5.721055507659912,50000
1995-10-27,6.1875,6.1875,6.0,6.0,5.547687530517578,64400
1995-10-30,6.0,6.0,5.0625,5.125,4.738650321960449,244400
1995-10-31,5.125,5.125,4.3125,4.375,4.0451884269714355,1446200
